Codigo;Nombre;Lista 1;Lista 2;Lista 3;Lista 4;Costo;Proveedor;Rubro;Subrubro;Cod. Barra
1197;GALLETA GOLCI PEPA X 200;840;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7791376000208
1198;GALLETA GOLD MUNDO CON CHIP 200GR;900;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7791376000864
1199;GALLETA GRANIX CEREAL 185G;115;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790045823445
1200;GALLETA GRANIX LINO 185G;122;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790045823889
1201;GALLETA GRANIX SALVADO;1360;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790045826200
1202;GALLETA GRANIX SALVADO;3290;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790045826231
1203;GALLETA GRANIX SANDWICH X1;1100;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790045001133
1204;GALLETA GRANIX SANDWICH X3;3150;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790045001379
1205;GALLETA GRANIX SEMOLADA;330;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790045827047
1206;GALLETA GRANIX SESAMO 185G;122;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790045826224
1207;GALLETA GRANIX SIN SAL X1;770;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790045001089
1208;GALLETA GRANIX SIN SAL X3;2460;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790045001317
1209;GALLETA HAMLET;780;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040144163
1210;GALLETA HAMLET;780;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040144538
1211;GALLETA HAMLET CHOCOLATE;780;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040144545
1213;GALLETA HOGAREÑAS SALVADO;920;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040132962
1212;GALLETA HOGAREÑAS SALVADO;3600;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7790040132955
1214;GALLETA KUKINA BLACK 50G;350;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798360810256
77995214;GALLETA KUKINAS 180G VAINILLAS ;900;;;;;;;;7798360810034
1215;GALLETA KUKINAS ANILLOS DE VAINILLA 180G;700;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798360810072
1216;GALLETA KUKINAS AVENA SESAMO Y CHIA;850;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798360810201
1217;GALLETA KUKINAS AVENAS CON CHIPS;1100;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798360810195
1218;GALLETA KUKINAS BLACK 80G;375;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798360810140
1219;GALLETA KUKINAS CHOCOLATE 180G;850;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798360810171
77995215;GALLETA KUKINAS CHOCOLATE 180G ;900;;;;;;;;7798360810010
1220;GALLETA KUKINAS CON CHIPS 80G;375;;;;;VARIOS;GOLOSINAS;GOLOSINAS;7798360810133
